id,title,overview,popularity,release_date,vote_average,vote_count
168705,BloodRayne,"In 18th-century Romania, after spending much of her life in a traveling circus, human-vampire hybrid Rayne escapes and plots to take down her father, Kagan, the evil vampire king. When she's discovered by three vampire hunters, she manages to convince them to spare her life and join her cause. But slaying a vampire as powerful as Kagan will be no easy task.",17.499,2005-10-22,4.105,501
19766,Inspector Gadget 2,"After capturing Claw, all the criminals have gone into hiding until, Claw escapes! Gadget thinks he will get the case, but everyone else has other planes. A new version of the Gadget project is unveiled in the form of G2. Strict orders are given for Gadget to stay away from G2 and every crime scene, but Gadget feels he is needed more than anyone.",20.772,2003-03-11,4.1,342
248705,The Visitors: Bastille Day,"Stuck in the corridors of time, Godefroy de Montmirail and his faithful servant Jacquouille are projected to a time of profound political and social upheavals: the French Revolution... specifically, The Terror, time of great dangers, during which the descendants of Godefroy and Jacquouille had their castle and all their property confiscated by arrogant aristocrats, fleeing and lifes hanging by a thread.",18.828,2016-03-23,4.09,636
17711,The Adventures of Rocky & Bullwinkle,"Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc.",16.436,2000-06-30,4.075,335
580,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.",30.996,1987-07-17,4.064,931
21435,French Fried Vacations 3: Friends Forever,"After the Club Med and skiing, what happened to the Bronzés 27 years later? Early response: the same, and worse.",9.06,2006-02-01,4.058,680
8046,Gigli,"Gigli is ordered to kidnap the psychologically challenged younger brother of a powerful federal prosecutor. When plans go awry, Gigli's boss sends in Ricki, a gorgeous free-spirited female gangster who has her own set of orders to assist with the kidnapping. But Gigli begins falling for the decidedly unavailable Ricki, which could be a hazard to his occupation.",14.759,2003-08-01,4.042,426
7278,Meet the Spartans,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",45.963,2008-01-24,4.0,1555
17473,The Room,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. The happy-go-lucky guy sees his world being torn apart when his friends begin to betray him one-by-one.",14.775,2003-06-27,4.035,1298
505423,Wounds,Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.,21.921,2019-01-26,4.021,739
22345,Baby Geniuses,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",24.624,1999-03-12,4.016,335
11535,Rollerball,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",17.515,2002-02-08,3.995,436
419507,Fuga da Reuma Park,"Old and forgotten, comedian Aldo is brought by his sons into a nursing home called Reuma Park where he finds his old friends and partners Giovanni and Giacomo.",6.676,2016-12-15,3.986,441
11867,Barb Wire,"A sexy nightclub owner, Barb Wire moonlights as a mercenary in Steel Harbor, one of the last free zones in the now fascist United States. When scientist Cora Devonshire wanders into Barb's establishment, she gets roped into a top-secret government plot involving biological weapons. Soon Barb is reunited with her old flame Axel Hood, who is now Cora's husband and a guerrilla fighter, resulting in plenty of tense action.",21.965,1996-05-02,3.9,376
205321,Sharknado,"A freak hurricane hits Los Angeles, causing man-eating sharks to be scooped up in tornadoes and flooding the city with shark-infested seawater. Surfer and bar-owner Fin sets out with his friends Baz and Nova to rescue his estranged wife April and teenage daughter Claudia.",13.862,2013-07-11,3.917,1482
